Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
U.S.A.,Ireland,Ireland,9 runs,Lauderhill,"Dec 23, 2021",T20I # 1452
U.S.A.,Ireland,U.S.A.,26 runs,Lauderhill,"Dec 22, 2021",T20I # 1451
Pakistan,West Indies,Pakistan,7 wickets,Karachi,"Dec 16, 2021",T20I # 1450
Pakistan,West Indies,Pakistan,9 runs,Karachi,"Dec 14, 2021",T20I # 1449
Pakistan,West Indies,Pakistan,63 runs,Karachi,"Dec 13, 2021",T20I # 1448
Bangladesh,Pakistan,Pakistan,5 wickets,Mirpur,"Nov 22, 2021",T20I # 1447
India,New Zealand,India,73 runs,Eden Gardens,"Nov 21, 2021",T20I # 1446
Kenya,Uganda,Uganda,6 wickets,Rwanda,"Nov 20, 2021",T20I # 1444
Nigeria,Tanzania,Tanzania,69 runs,Kigali,"Nov 20, 2021",T20I # 1445
Bangladesh,Pakistan,Pakistan,8 wickets,Mirpur,"Nov 20, 2021",T20I # 1443
Tanzania,Uganda,Uganda,6 wickets,Rwanda,"Nov 20, 2021",T20I # 1441
Kenya,Nigeria,Kenya,60 runs,Kigali,"Nov 20, 2021",T20I # 1442
India,New Zealand,India,7 wickets,Ranchi,"Nov 19, 2021",T20I # 1440
Bangladesh,Pakistan,Pakistan,4 wickets,Mirpur,"Nov 19, 2021",T20I # 1439
Kenya,Tanzania,Kenya,7 wickets,Rwanda,"Nov 18, 2021",T20I # 1437
Nigeria,Uganda,Uganda,8 wickets,Kigali,"Nov 18, 2021",T20I # 1438
Tanzania,Uganda,Uganda,8 wickets,Rwanda,"Nov 18, 2021",T20I # 1435
Kenya,Nigeria,Kenya,8 wickets,Kigali,"Nov 18, 2021",T20I # 1436
India,New Zealand,India,5 wickets,Jaipur,"Nov 17, 2021",T20I # 1434
Nigeria,Uganda,Uganda,12 runs,Rwanda,"Nov 17, 2021",T20I # 1432
Kenya,Tanzania,Tanzania,49 runs,Kigali,"Nov 17, 2021",T20I # 1433
Nigeria,Tanzania,Tanzania,6 wickets,Rwanda,"Nov 17, 2021",T20I # 1430
Kenya,Uganda,Kenya,1 run,Kigali,"Nov 17, 2021",T20I # 1431
Argentina,Bermuda,Bermuda,3 wickets,Coolidge,"Nov 14, 2021",T20I # 1429
Australia,New Zealand,Australia,8 wickets,Dubai (DICS),"Nov 14, 2021",T20I # 1428
Canada,Panama,Canada,208 runs,Coolidge,"Nov 14, 2021",T20I # 1427
Bahamas,Panama,Panama,26 runs,Coolidge,"Nov 13, 2021",T20I # 1425
Argentina,Canada,Canada,9 wickets,North Sound,"Nov 13, 2021",T20I # 1426
Bahamas,U.S.A.,U.S.A.,10 wickets,Coolidge,"Nov 13, 2021",T20I # 1423
Belize,Bermuda,Bermuda,7 wickets,North Sound,"Nov 13, 2021",T20I # 1424
Bermuda,Panama,Bermuda,86 runs,Coolidge,"Nov 11, 2021",T20I # 1421
Argentina,U.S.A.,U.S.A.,8 wickets,North Sound,"Nov 11, 2021",T20I # 1422
Australia,Pakistan,Australia,5 wickets,Dubai (DICS),"Nov 11, 2021",T20I # 1420
Bermuda,Canada,Canada,46 runs,Coolidge,"Nov 11, 2021",T20I # 1418
Bahamas,Belize,Bahamas,11 runs,North Sound,"Nov 11, 2021",T20I # 1419
Canada,U.S.A.,tied,-,Coolidge,"Nov 10, 2021",T20I # 1416
Argentina,Panama,Argentina,45 runs,North Sound,"Nov 10, 2021",T20I # 1417
England,New Zealand,New Zealand,5 wickets,Abu Dhabi,"Nov 10, 2021",T20I # 1415
Bahamas,Bermuda,Bermuda,140 runs,Coolidge,"Nov 10, 2021",T20I # 1413
Argentina,Belize,Argentina,59 runs,North Sound,"Nov 10, 2021",T20I # 1414
Belize,Panama,Belize,12 runs,Coolidge,"Nov 8, 2021",T20I # 1411
Bermuda,U.S.A.,U.S.A.,23 runs,North Sound,"Nov 8, 2021",T20I # 1412
India,Namibia,India,9 wickets,Dubai (DICS),"Nov 8, 2021",T20I # 1410
Belize,Canada,Canada,145 runs,Coolidge,"Nov 8, 2021",T20I # 1408
Argentina,Bahamas,Bahamas,12 runs,North Sound,"Nov 8, 2021",T20I # 1409
Panama,U.S.A.,U.S.A.,9 wickets,Coolidge,"Nov 7, 2021",T20I # 1407
Pakistan,Scotland,Pakistan,72 runs,Sharjah,"Nov 7, 2021",T20I # 1406
Belize,U.S.A.,U.S.A.,10 wickets,Coolidge,"Nov 7, 2021",T20I # 1404
Bahamas,Canada,Canada,122 runs,North Sound,"Nov 7, 2021",T20I # 1405
